Disease Class,Disease/Phenotype,Population Type,Type Of Association,No. of Records,Latest Year of Occurence
IMMUNE,Crohn's disease,Caucasian,Y,5,2006
METABOLIC,"diabetes, gestational",Scandinavian,Y,5,2007
IMMUNE,"diabetes, type 1",Danish,Y,5,2007
METABOLIC,"cholesterol, HDL cholesterol, LDL",Caucasian;German,Y,5,2006
REPRODUCTION,endometriosis,Korean,Y,5,2007
CARDIOVASCULAR,myocardial infarct,Japanese,Y,5,2005
NEUROLOGICAL,Alzheimer's Disease,Caucasian,Y,5,2004
INFECTION,sepsis,Caucasian,Y,5,2006
IMMUNE,Crohn's disease ulcerative colitis,Italian,Y,4,2007
VISION,"glaucoma, primary open-angle",Southern Chinese,Y,4,2005
IMMUNE,"diabetes, type 1",Filipinos,Y,4,2003
IMMUNE,Graves' disease,Caucasian,Y,4,2007
CANCER,upper aerodigestive tract cancer,"Romania, Poland, Russia, Slovakia and the Czech Republic",Y,4,2006
METABOLIC,"diabetes, type 2",African American,Y,4,2005
IMMUNE,periodontitis,Caucasian,Y,4,2006
CANCER,Colorectal Cancer,Spanish,Y,4,2004
METABOLIC,"cholesterol, HDL",Korean,Y,4,2007
CANCER,esophageal cancer,Chinese,Y,4,2004
CANCER,leukemia,Chinese,Y,4,2005
INFECTION,tuberculosis,Chinese,Y,4,2005
METABOLIC,obesity,French,Y,4,2004
INFECTION,HIV,Caucasian,Y,4,2006
CARDIOVASCULAR,Vascular Disease,Caucasian,Y,4,2001
METABOLIC,bone density,Chinese,Y,4,2005
PSYCH,schizophrenia,Caucasian,Y,4,2007
RENAL,nephrotic syndrome,European,Y,4,2007
CARDIOVASCULAR,stroke,Chinese,Y,4,2001
IMMUNE,Asthma,Caucasian,Y,4,2000
IMMUNE,Crohn's disease; ulcerative colitis,Japanese,Y,4,2005
CANCER,breast cancer,German,Y,4,2006
CARDIOVASCULAR,myocardial infarct,Japanese;European,Y,4,2007
CARDIOVASCULAR,hypertension,African American,Y,4,2005
CANCER,colorectal cancer,Caucasian,Y,4,2007
CARDIOVASCULAR,cardiomyopathy,Chinese,Y,4,2004
CANCER,prostate cancer,African American,Y,4,2005
METABOLIC,bone mineral density,Japanese,Y,4,2003
METABOLIC,osteoarthritis,Japanese;Caucasian,Y,4,2006
NEUROLOGICAL,narcolepsy,Japanese;Korean,Y,4,2006
IMMUNE,multiple sclerosis,Japanese,Y,4,2005
METABOLIC,cholesterol,Japanese,Y,4,2004
IMMUNE,Asthma,German,Y,4,2007
CHEMDEPENDENCY,nicotine dependence,European,Y,4,2007
IMMUNE,psoriasis,Caucasian;German,Y,4,2007
IMMUNE,"diabetes, type 1",Finnish,Y,4,2006
IMMUNE,rheumatoid arthritis,Spanish,Y,4,2004
IMMUNE,hematology indices,Korean,Y,3,2006
METABOLIC,"diabetes, type 2",French,Y,3,2007
METABOLIC,Lp(a),Czech,Y,3,2002
METABOLIC,"triglycerides; atherosclerosis, coronary",Chinese,Y,3,2005
CARDIOVASCULAR,mitral valve prolapse,Chinese,Y,3,2004
CANCER,prostate cancer,Caucasian,Y,3,2004
METABOLIC,bone mineral density,Chinese,Y,3,2003
IMMUNE,systemic lupus erythematosus,Chinese,Y,3,2003
IMMUNE,"pancreatitis, autoimmune; pancreatitis, chronic calcifying",Japanese,Y,3,2002
CANCER,prostate cancer,Italian,Y,3,2002
METABOLIC,polycystic ovary syndrome,caucasian,Y,3,2006
METABOLIC,glucose tolerance,Indian,Y,3,2004
IMMUNE,multiple sclerosis,Serbian,Y,3,2006
HEMATOLOGICAL,fibrinogen,European,Y,3,2006
DEVELOPMENTAL,hypospadias,Chinese,Y,3,2004
CHEMDEPENDENCY,alcoholism,Japanese,Y,3,2004
INFECTION,HIV,Chinese,Y,3,2004
IMMUNE,inflammatory bowel disease,Japanese,Y,3,2005
CANCER,prostate carcinoma,Japanese,Y,3,2003
METABOLIC,insulin,Japanese,Y,3,2005
HEMATOLOGICAL,thalassemia,Chinese,Y,3,2004
IMMUNE,Graves' disease,Caucasian;Korean;Thai;Asian,Y,3,2006
PSYCH,personality disorders,Caucasian,Y,3,2007
METABOLIC,obesity,Chinese,Y,3,2004
CHEMDEPENDENCY,alcoholism,Korean,Y,3,2007
INFECTION,malaria,Thai,Y,3,2002
CANCER,stomach cancer,Japanese,Y,3,2005
CANCER,prostate cancer,Polish,Y,3,2006
METABOLIC,bone density,Caucasian,Y,3,2007
IMMUNE,atopy,Finnish,Y,3,2003
NEUROLOGICAL,Parkinson's disease,Japanese,Y,3,2001
CARDIOVASCULAR,myocardial infarct,Italian,Y,3,2007
PHARMACOGENOMIC,warfarin sensitivity,Asian,Y,3,2006
IMMUNE,celiac disease,European,Y,3,2006
NEUROLOGICAL,Alzheimer's Disease,Korean,Y,3,2006
METABOLIC,hypertriglyceridemia,Chinese,Y,3,2003
METABOLIC,lipoprotein,"non-Hispanic, Hispanic",Y,3,2002
IMMUNE,"diabetes, type 1",Tunisian,Y,3,2002
UNKNOWN,"cirrhosis, biliary primary",Chinese,Y,3,2004
CANCER,breast cancer,Korean,Y,3,2007
CANCER,breast cancer,Canadian,Y,3,2001
OTHER,systemic sclerosis,Japanese,Y,3,2001
CARDIOVASCULAR,angina,Chinese,Y,3,2004
PSYCH,bipolar disorder,Japanese,Y,3,2004
IMMUNE,atopic dermatitis,Japanese,Y,3,2003
RENAL,minimal change nephrotic syndrome,Japanese,Y,3,2003
CARDIOVASCULAR,"atherosclerosis, coronary",Caucasian,Y,3,2007
IMMUNE,ulcerative colitis,Japanese,Y,3,2004
CHEMDEPENDENCY,nicotine dependence,African American;European,Y,3,2007
CARDIOVASCULAR,"atherosclerosis, coronary",Korean,Y,3,2007
CANCER,testicular cancer,Hispanic Caucasian;non-Hispanic,Y,3,2007
CARDIOVASCULAR,Essential Hypertension,Chinese,Y,3,2001
CANCER,prostatic hyperplasia; prostate cancer,Japanese,Y,3,2005
IMMUNE,asthma,Indian,Y,3,2004
CARDIOVASCULAR,"blood pressure, arterial",Japanese,Y,3,2006
VISION,glaucoma,Indian,Y,3,2006
PSYCH,attention deficit hyperactivity disorder,Chinese,Y,3,2006
IMMUNE,celiac disease,Spanish,Y,3,2003
IMMUNE,Asthma,Australian,Y,3,2005
UNKNOWN,retinitis pigmentosa,Chinese,Y,3,2005
IMMUNE,asthma,Iranian,Y,3,2007
CHEMDEPENDENCY,alcohol abuse,European,Y,3,2007
RENAL,"nephropathy, diabetic",Chinese,Y,3,2001
CARDIOVASCULAR,hypertension,white,Y,3,2002
METABOLIC,obesity,spanish,Y,3,2004
IMMUNE,Lupus,Japanese,Y,3,2003
PSYCH,schizophrenia,Swedish,Y,3,2003
HEMATOLOGICAL,factor VIII and factor IX genes,Thai and Western European,Y,3,1994
IMMUNE,systemic lupus erythematosus,German,Y,3,2002
IMMUNE,Behcet's Disease,Korean,Y,3,2002
NEUROLOGICAL,narcolepsy,Chinese,Y,3,2003
INFECTION,tuberculosis,Japanese,Y,3,2003
CARDIOVASCULAR,"atherosclerosis, coronary",Italian,Y,3,2006
VISION,macular degeneration,European,Y,3,2007
CARDIOVASCULAR,"EKG, abnormal",Caucasian;European,Y,3,2007
METABOLIC,Adiposity and Abdominal Obesity,Quebec,Y,3,2001
CARDIOVASCULAR,"heart disease, ischemic",Chinese,Y,3,2005
CHEMDEPENDENCY,alcohol-dependence,Scottish,Y,3,1999
IMMUNE,allergic rhinitis,Chinese,Y,3,2004
CHEMDEPENDENCY,"alcohol abuse cirrhosis, alcoholic pancreatitis, chronic",Polish,Y,3,2007
IMMUNE,rhinitis,Korean,Y,3,2006
IMMUNE,Asthma,Japanese. British,Y,3,2001
IMMUNE,autoimmune thyroid disease,Japanese,Y,3,2004
CARDIOVASCULAR,cerebrovascular disease,Japanese,Y,3,2004
CANCER,prostate cancer,"European American, African American",Y,3,2005
INFECTION,Severe Malaria,Gambia,Y,3,2004
PSYCH,autism,Japanese,Y,3,2005
PSYCH,major and bipolar depressives,Italian (Caucasian),Y,3,2003
REPRODUCTION,endometriosis,Chinese,Y,3,2002
METABOLIC,"diabetes, type 2",Pima Indian,Y,3,2005
OTHER,uterine fibroids,Caucasian,Y,2,2006
METABOLIC,"diabetes, type 2",European;Irish,Y,2,2006
IMMUNE,IgA nephropathy,Japanese,Y,2,1999
IMMUNE,pancreatitis,Italian,Y,2,2003
IMMUNE,"diabetes, type 1",Iranian,Y,2,2006
REPRODUCTION,menarche; menopause,Japanese,Y,2,2003
CANCER,breast cancer,Turkish,Y,2,2004
CANCER,lung cancer; esophageal cancer,Chinese,Y,2,2003
METABOLIC,warfarin sensitivity,Chinese,Y,2,2005
CANCER,cervical cancer,Japanese,Y,2,2005
IMMUNE,"thyroiditis, Hashimoto's",Italian,Y,2,2001
IMMUNE,"hepatitis, autoimmune",Japanese,Y,2,2005
IMMUNE,Psoriasis,Caucasian,Y,2,1999
IMMUNE,Atopy (total & specific IgE),Chinese,Y,2,2001
CANCER,gastric cancer,Chinese,Y,2,2002
METABOLIC,"diabetes, type 2",Italian,Y,2,2006
VISION,glaucoma,Eastern Chinese,Y,2,2002
INFECTION,tuberculosis,Indian,Y,2,2006
IMMUNE,Sjogren's syndrome,French,Y,2,2004
IMMUNE,Rheumatoid Arthritis,French Caucasian population,Y,2,2004
METABOLIC,obesity,Pima Indians,Y,2,1998
AGING,Longevity,Russian,Y,2,2001
NEUROLOGICAL,Parkinson's disease,Italian,Y,2,2007
PSYCH,schizophrenia,German;Irish,Y,2,2006
IMMUNE,psoriasis,Chinese;Caucasian,Y,2,2006
CANCER,stomach cancer,Caucasian;Korean;Asian,Y,2,2007
CARDIOVASCULAR,"hypertension, pulmonary arterial",Korean,Y,2,2007
PSYCH,suicide,Caucasian;German,Y,2,2007
NEUROLOGICAL,ALS/amyotrophic lateral sclerosis,Polish,Y,2,2006
CARDIOVASCULAR,Blood Pressure,Caucasian,Y,2,2000
CHEMDEPENDENCY,alcoholism,Mexican,Y,2,2004
METABOLIC,obesity,Finnish,Y,2,2004
CARDIOVASCULAR,Myocardial Infarction,Italian,Y,2,2001
METABOLIC,obesity,Swedish,Y,2,2005
METABOLIC,"diabetes, type 2",population,Y,2,2003
RENAL,"nephropathy, diabetic",Japanese,Y,2,2002
IMMUNE,systemic lupus erythematosus,Spanish,Y,2,2004
CARDIOVASCULAR,coronary artery disease,Korean,Y,2,2001
CANCER,gastric cancer,Japanese,Y,2,2002
REPRODUCTION,"pregnancy loss, recurrent",Caucasian,Y,2,2005
UNKNOWN,Vogt-Koyanagi-Harada syndrome,Chinese,Y,2,2000
IMMUNE,Sjogren's syndrome,Colombian,Y,2,2002
INFECTION,malaria,West African,Y,2,1998
CANCER,stomach cancer,Mexican,Y,2,2007
METABOLIC,hyperlipidemia,Chinese,Y,2,2004
NEUROLOGICAL,Alzheimer's Disease,Finnish,Y,2,2004
CANCER,esophageal cancer; gastric cardia cancer,Chinese,Y,2,2003
PSYCH,Schizophrenia,African Americans,Y,2,2004
CANCER,prostate cancer,Finnish,Y,2,2003
DEVELOPMENTAL,neural tube defects,Chinese,Y,2,2005
METABOLIC,bone mass,Korean,Y,2,2003
CANCER,pancreatic cancer,Caucasian,Y,2,2007
INFECTION,hepatitis B,Korean,Y,2,2006
CHEMDEPENDENCY,nicotine,European,Y,2,2006
PHARMACOGENOMIC,warfarin sensitivity,Japanese;Caucasian,Y,2,2006
PSYCH,attention deficit hyperactivity disorder,European;Asian,Y,2,2006
CANCER,prostate cancer,African American;Caucasian,Y,2,2007
IMMUNE,"hypothyroidism, goitrous juvenile autoimmune",Indian,Y,2,2007
HEMATOLOGICAL,Langerhans cell histiocytosis,Italian,Y,2,2006
CANCER,lung cancer,Korean,Y,2,2006
NEUROLOGICAL,dystonia,German;Icelandic,Y,2,2006
METABOLIC,"cholesterol, HDL",Japanese,Y,2,2004
METABOLIC,"diabetes, type 2",Caucasians,Y,2,2001
CARDIOVASCULAR,hypertension,Russian,Y,2,2002
IMMUNE,pancreatitis,Japanese,Y,2,2004
METABOLIC,"diabetes, type 2",Mexican,Y,2,2004
INFECTION,"hepatitis C, chronic",Japanese,Y,2,2004
INFECTION,HIV,Thai,Y,2,2004
IMMUNE,"autoimmune thyroid disease; thyroid disease, autoimmune",Japanese,Y,2,2000
CANCER,Breast Cancer,Japanese,Y,2,2002
REPRODUCTION,menopause,Caucasian,Y,2,2006
CARDIOVASCULAR,emphysema,Japanese,Y,2,2003
CARDIOVASCULAR,cerebral infarct,Chinese,Y,2,2004
IMMUNE,systemic lupus erythematosus,Thai,Y,2,2002
CANCER,cervical cancer,Senegalese,Y,2,2001
INFECTION,"malaria, plasmodium falciparum",Ghana,Y,2,2004
IMMUNE,Total serum IgE,Dutch,Y,2,2001
METABOLIC,obesity,Mexican,Y,2,2005
IMMUNE,multiple sclerosis,Russian,Y,2,2003
IMMUNE,"diabetes, type 1",Swedish Caucasians,Y,2,2003
INFECTION,tuberculosis,Gambian,Y,2,2002
DEVELOPMENTAL,neural tube defects,Italian,Y,2,2003
OTHER,FEV1,U.S. Caucasian,Y,2,2000
IMMUNE,"periodontitis, early-onset",Japanese,Y,2,2001
CARDIOVASCULAR,acute coronary syndrome,Korean,Y,2,2004
IMMUNE,"sclerosis, systemic",Korean,Y,2,2007
METABOLIC,PAH-DNA adducts,African American;Caucasian,Y,2,2007
PSYCH,bipolar disorder,European,Y,2,2007
CARDIOVASCULAR,"atherosclerosis, coronary cholesterol, HDL",Quebec,Y,2,2007
IMMUNE,psoriasis,Finnish,Y,2,2007
INFECTION,"leishmaniasis, cutaneous",Iranian,Y,2,2006
INFECTION,"herpesvirus, Kaposi sarcoma-associated",Italian,Y,2,2006
PHARMACOGENOMIC,irinotecan pharmacokinetics,Asian,Y,2,2007
DEVELOPMENTAL,congenital anomalies; renal disease,Italian,Y,2,2004
IMMUNE,Asthma,European,Y,2,2004
METABOLIC,Type 2 Diabetes (Retinopathy),Asian Indian population,Y,2,2002
IMMUNE,asthma,Swedish,Y,2,2004
INFECTION,"malaria, plasmodium falciparum",Thai,Y,2,2003
CANCER,breast cancer,Indian,Y,2,2004
HEMATOLOGICAL,factor VII,Tunisian,Y,2,2005
CHEMDEPENDENCY,alcohol abuse,Taiwanese,Y,2,2002
OTHER,"hearing loss, sensorineural nonsyndromic",Danish,Y,2,2004
INFECTION,tuberculosis,Thai,Y,2,2002
IMMUNE,"diabetes, type 1",Korean,Y,2,2003
NEUROLOGICAL,Alzheimer's disease; dementia,Taiwanese,Y,2,2005
IMMUNE,arthritis,Spanish,Y,2,2003
METABOLIC,obesity,Pima Indian,Y,2,2005
CARDIOVASCULAR,carotid atherosclerosis,Japanese,Y,2,2004
IMMUNE,chronic pancreatitis,German,Y,2,2000
METABOLIC,"diabetes, type 2",Danish,Y,2,2005
IMMUNE,Crohn's disease,Japanese,Y,2,2000
CARDIOVASCULAR,"blood pressure, arterial",French,Y,2,2006
CHEMDEPENDENCY,alcohol-related phenotypes nicotine,Caucasian,Y,2,2007
IMMUNE,asthma,Russian,Y,2,2007
IMMUNE,allergic rhinitis dermatitis and eczema fatty acid,European;German,Y,2,2006
IMMUNE,periodontitis,Brazilian,Y,2,2006
IMMUNE,Crohn's disease ulcerative colitis,Jewish,Y,2,2007
UNKNOWN,bronchopulmonary aspergillosis pulmonary aspergillosis,Caucasian,Y,2,2007
CANCER,breast cancer,non-Hispanic,Y,2,2006
NEUROLOGICAL,ALS/amyotrophic lateral sclerosis,Caucasian,Y,2,2006
METABOLIC,"diabetes, type 2; nephropathy in other diseases",Japanese,Y,2,2003
CARDIOVASCULAR,Stroke,American,Y,2,2002
METABOLIC,bone mass,Caucasian,Y,2,2002
NEUROLOGICAL,"seizures, febrile",Chinese,Y,2,2005
IMMUNE,"diabetes, type 1",Russian,Y,2,2005
IMMUNE,Graves disease,caucasian,Y,2,1995
UNKNOWN,"cirrhosis, biliary primary; hepatitis, autoimmune",Chinese,Y,2,2004
IMMUNE,multiple sclerosis,Spanish,Y,2,2004
IMMUNE,Total IgE,Japanese,Y,2,2000
CHEMDEPENDENCY,smoking behavior,Japanese,Y,2,2005
UNKNOWN,vesicoureteral reflux,Taiwanese,Y,2,2004
IMMUNE,Atopy,Japanese,Y,2,2004
METABOLIC,"diabetes, type 2",Korean,Y,2,2005
CARDIOVASCULAR,coronary artery disease,patients from the Women's Ischemia Syndrome Evaluation study,Y,2,2003
METABOLIC,ossification of the posterior longitudinal ligament,Japanese,Y,2,2001
CARDIOVASCULAR,myocardial infarction,Korean,Y,2,2002
INFECTION,dengue hemorrhagic fever,Vietnamese,Y,2,2002
IMMUNE,Behcet's Disease,Italian,Y,2,2002
PHARMACOGENOMIC,"cholestasis, drug-induced hepatotoxicity",Caucasian,Y,2,2007
METABOLIC,albuminuria hypertension,Caucasian,Y,2,2006
VISION,macular degeneration,Japanese;Chinese;Caucasian,Y,2,2007
METABOLIC,obesity,Canadian;French,Y,2,2006
CANCER,melanoma,non-Hispanic,Y,2,2006
IMMUNE,"rheumatoid arthritis thyroid disease, autoimmune",Japanese;Canadian;Caucasian,Y,2,2006
IMMUNE,lupus erythematosus,European,Y,2,2007
IMMUNE,multiple sclerosis,European,Y,2,2006
IMMUNE,"asthma, aspirin-induced",Korean,Y,2,2006
METABOLIC,folate homocysteine vitamin B12,Brazilian,Y,2,2006
IMMUNE,psoriatic arthritis,Caucasian,Y,2,2006
PHARMACOGENOMIC,irinotecan pharmacokinetics lung cancer,Korean,Y,2,2006
PSYCH,Bipolar Affective Disorder,Brazilian,Y,2,2000
METABOLIC,insulin resistance,Japanese,Y,2,1999
CARDIOVASCULAR,Coronary Artery Disease,Russians,Y,2,1998
CARDIOVASCULAR,stroke,Japanese,Y,2,2000
CANCER,breast cancer,Polish,Y,2,2003
OTHER,erythrocyte catalase activity,coal miners,Y,2,2005
IMMUNE,multiple sclerosis,German,Y,2,2005
OTHER,smoking,Japanese,Y,2,2003
CANCER,stomach cancer,Polish,Y,2,2005
INFECTION,tuberculosis,Iranian,Y,2,2004
IMMUNE,Asthma,U.K. Caucasian,Y,2,1998
NEUROLOGICAL,Parkinson's disease,Polish,Y,2,2005
CANCER,Urinary Bladder Cancer,German,Y,2,2001
PSYCH,Schizophrenia,Scottish,Y,2,2006
CANCER,esophageal cancer,Taiwanese,Y,2,2003
METABOLIC,bone mineral density (BMD),post menopausal Japanese women,Y,2,2003
INFECTION,tuberculosis,Korean,Y,2,2006
METABOLIC,osteoporosis,Japanese,Y,2,1998
IMMUNE,systemic lupus erythematosus,Mexican,Y,2,2001
REPRODUCTION,endometriosis,Indian,Y,2,2007
CARDIOVASCULAR,"atherosclerosis, coronary",German,Y,2,2006
CARDIOVASCULAR,"atherosclerosis, coronary",Asian,Y,2,2007
METABOLIC,bone density,Chinese;Caucasian,Y,2,2007
METABOLIC,metabolic syndrome obesity,Caucasian;French,Y,2,2006
CANCER,prostate cancer prostate specific antigen,Turkish,Y,2,2007
METABOLIC,"body mass diabetes, type 2 insulin",Danish,Y,2,2006
CANCER,prostate cancer,Tunisian,Y,2,2007
CANCER,hepatitis B liver cancer,Korean,Y,2,2007
CANCER,oral cancer,European;German;Greek,Y,2,2007
METABOLIC,homocysteine,European,Y,2,2007
METABOLIC,"obesity; blood pressure, arterial; sleep apnea",Chinese,Y,2,2004
IMMUNE,"diabetes, type 1",Italy,Y,2,2004
CANCER,breast cancer; ovarian cancer,Czech,Y,2,2000
IMMUNE,Crohn's disease; ulcerative colitis,Italian,Y,2,2004
INFECTION,severe RSV bronchiolitis,UK Caucasian,Y,2,2004
IMMUNE,SPT,Hutterites,Y,2,2000
OTHER,pancreatitis,Brazilian,Y,2,2003
IMMUNE,"diabetes, type 1",Romanian,Y,2,2002
CANCER,genetic polymorphism,Chinese,Y,2,2002
PSYCH,Schizophrenia,Italian,Y,2,2006
IMMUNE,Behcet's Disease,Iranian,Y,2,2002
UNKNOWN,"cirrhosis, biliary primary",Caucasian,Y,2,2005
OTHER,"diabetes, type 2; diabetes, type 1",Czech,Y,2,2005
CANCER,Lung Cancer,French Caucasian,Y,2,1998
NEUROLOGICAL,Parkinson's Disease,subjects enrolled in the Mutualite Sociale Agricole,Y,2,2003
IMMUNE,"diabetes, type 1",Canadian Caucasian,Y,2,2005
METABOLIC,bone density,Scottish,Y,2,2006
CARDIOVASCULAR,heart failure,Russian,Y,2,2006
CARDIOVASCULAR,"myocardial infarct stroke, ischemic",Caucasian,Y,2,2006
NORMALVARIATION,endurance performance,Caucasian;South African,Y,2,2006
NEUROLOGICAL,dyslexia,Finnish;German,Y,2,2007
CANCER,breast cancer melanoma,Polish,Y,2,2006
IMMUNE,asthma atopy,German,Y,2,2007
METABOLIC,"diabetes, type 2 insulin metabolic syndrome",Japanese;Chinese;African American;Caucasian,Y,2,2006
METABOLIC,bone density,Japanese;Chinese;African American;Caucasian,Y,2,2006
CANCER,nasopharyngeal cancer,Tunisian,Y,2,2006
IMMUNE,"hepatitis type 2, autoimmune",Caucasian,Y,2,2006
METABOLIC,obesity,Danish,Y,2,2006
CANCER,breast cancer,Russian,Y,2,2006
METABOLIC,"cholesterol, HDL",Turkish,Y,2,2005
METABOLIC,metabolic syndrome,Chinese,Y,2,2002
CARDIOVASCULAR,hypertension,Bangladeshi,Y,2,2002
METABOLIC,weight gain,Dutch,Y,2,2002
METABOLIC,"diabetes, type 2",Finnish,Y,2,2006
PSYCH,suicide,Japanese,Y,2,2005
AGING,Osteoarthritis,Caucasian-total joint replacement,Y,2,2004
OTHER,liver disease,Japanese,Y,2,2003
NEUROLOGICAL,tardive dyskinesia,Chinese,Y,2,2003
PSYCH,Tourette syndrome,Canadian,Y,2,2004
NORMALVARIATION,insulin sensitivity and body composition,Hispanic and non-Hispanic white males,Y,2,2004
IMMUNE,lupus erythematosus; nephropathy in other diseases,Korean,Y,2,2003
UNKNOWN,"diabetes, type 2; nephropathy in other diseases",African American,Y,2,2004
CANCER,prostate cancer,European,Y,2,2006
IMMUNE,"dermatitis, atopic",Korean,Y,2,2001
INFECTION,HIV,Zambian,Y,2,2005
INFECTION,tuberculosis,Colombian,Y,2,2005
CANCER,colorectal cancer,Chinese,Y,2,2005
IMMUNE,Crohn's disease,British,Y,2,2001
CANCER,colorectal cancer,Finnish,Y,2,2006
IMMUNE,Lupus,Korean,Y,2,1996
VISION,"glaucoma, normal tension",Korean,Y,2,2006
INFECTION,tuberculosis,Caucasian,Y,2,2006
RENAL,"diabetes, type 1 diabetic nephropathy",Swedish;Caucasian,Y,2,2007
CARDIOVASCULAR,"diabetes, type 2 hypertension lipoprotein",Caucasian,Y,2,2007
METABOLIC,obesity,European,Y,2,2007
PSYCH,cognitive function,European,Y,2,2007
CARDIOVASCULAR,"atherosclerosis, coronary",Caucasian;Italian,Y,1,2006
PHARMACOGENOMIC,"ovarian toxicity, cyclophosphamide-related premature menopause, cyclophosphamide-related",Indian,Y,1,2007
PHARMACOGENOMIC,tacrolimus pharmacokinetics,Korean,Y,1,2007
INFECTION,HIV,Italian,Y,1,2006
CHEMDEPENDENCY,heroin abuse,Spanish;European,Y,1,2007
PSYCH,schizophrenia,African American;European,Y,1,2007
CANCER,lung cancer,Asian,Y,1,2006
HEMATOLOGICAL,,Indian;Asian,Y,1,2007
IMMUNE,"atopy IgE urticaria, aspirin-intolerant",Korean,Y,1,2006
METABOLIC,polycystic ovarian syndrome,Caucasian,Y,1,2005
PSYCH,schizophrenia,Chinese;German,Y,1,2006
METABOLIC,osteoarthritis,Spanish;European,Y,1,2007
CANCER,colorectal cancer,Korean,Y,1,2007
CANCER,cervical cancer endometrial cancer ovarian cancer,Turkish,Y,1,2007
METABOLIC,"diabetes, type 2",Caucasian;Indian;Mexican;Mexican American;Pima Indians,Y,1,2007
PSYCH,seasonal affective disorder,Korean,Y,1,2006
INFECTION,"hepatitis B, chronic",Chinese;Caucasian,Y,1,2006
INFECTION,tuberculosis,Turkish,Y,1,2006
IMMUNE,IL18 expression level,European,Y,1,2007
IMMUNE,rheumatoid arthritis,Caucasian;EuropeanFrench,Y,1,2007
METABOLIC,"diabetes, type 2 hypertension",Korean,Y,1,2007
REPRODUCTION,"infertility, female",Japanese;Finnish,Y,1,2005
NEUROLOGICAL,essential tremor,Caucasian,Y,1,2006
PSYCH,attention deficit hyperactivity disorder,Caucasian,Y,1,2007
